,Year,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Location,Origin,Aid_Contribution,Dis_Mag_Value,Latitude,Longitude,Local Time,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,Total_Affected,Total_Damages_USD,CPI
187,1980,Natural,Hydrological,Landslide,Landslide,Uttar Pradesh,,,,,,,1980,6.0,25.0,1980,6.0,25.0,150.0,,,32.2338932328122
188,1980,Natural,Meteorological,Storm,Tropical cyclone,"Srikakulam, Visakhapatnam, East & West Godavari districts (Andhra Pradesh)",,,,,,,1980,10.0,16.0,1980,10.0,16.0,28.0,,,32.2338932328122
189,1980,Natural,Meteorological,Storm,Tropical cyclone,Tamil Nadu,,,,,,,1980,12.0,3.0,1980,12.0,3.0,,,,32.2338932328122
190,1980,Natural,Meteorological,Extreme temperature,Cold wave,Bihar,,,,,,,1980,1.0,,1980,1.0,,79.0,,,32.2338932328122
191,1980,Natural,Meteorological,Extreme temperature,Heat wave,"Bihar, Uttar Pradesh states",,,40.0,,,,1980,4.0,29.0,1980,4.0,29.0,50.0,,,32.2338932328122
192,1980,Natural,Biological,Epidemic,Bacterial disease,Madhya Pradesh,,,,,,,1980,7.0,,1980,7.0,,390.0,,,32.2338932328122
193,1980,Natural,Biological,Epidemic,Bacterial disease,Uttar Pradesh,,,,,,,1980,8.0,21.0,1980,8.0,21.0,250.0,,,32.2338932328122
194,1980,Natural,Biological,Epidemic,Viral disease,Northern,,,,,,,1980,9.0,,1980,9.0,,400.0,,,32.2338932328122
195,1980,Technological,Technological,Industrial accident,Explosion,Mandir Asod,,,,,,,1980,3.0,5.0,1980,3.0,5.0,50.0,,,32.2338932328122
196,1980,Natural,Hydrological,Flood,,Assam,,,,,,,1980,7.0,,1980,7.0,,,50000.0,,32.2338932328122
197,1980,Natural,Hydrological,Flood,,Gujarat,,,,,,,1980,7.0,,1980,7.0,,11.0,1000.0,,32.2338932328122
198,1980,Natural,Hydrological,Flood,,"Uttar Pradesh, Bihar, Gujarat, Kerala, Haryana",,,,,,,1980,8.0,,1980,8.0,,1600.0,30000023.0,320000.0,32.2338932328122
199,1980,Natural,Hydrological,Flood,,Orissa,,,,,,,1980,9.0,,1980,9.0,,200.0,2000000.0,,32.2338932328122
200,1980,Natural,Hydrological,Flood,,,,,,,,,1980,7.0,,1980,7.0,,600.0,,,32.2338932328122
201,1981,Natural,Meteorological,Storm,Convective storm,Orissa,,,,,,,1981,4.0,17.0,1981,4.0,17.0,120.0,10000.0,,35.5651715205916
202,1981,Natural,Meteorological,Storm,Tropical cyclone,"Orissa, West Bengal",,,,,,,1981,12.0,10.0,1981,12.0,10.0,200.0,20000.0,,35.5651715205916
203,1981,Natural,Meteorological,Storm,Tropical cyclone,"Puri, Ganjam, Koraput, Kalhandi, Phulbani, Sundergarh districts (Orissa state)",,,,,,,1981,8.0,7.0,1981,8.0,7.0,15.0,101700.0,,35.5651715205916
204,1981,Natural,Meteorological,Storm,Tropical cyclone,"Orissa, West Bengal, Bihar Plateau, Andhra Pradesh, Telangana, East Madhya Pradesh",,,,,,,1981,9.0,24.0,1981,9.0,24.0,,,,35.5651715205916
205,1981,Natural,Meteorological,Extreme temperature,Cold wave,Northern,,,,,,,1981,1.0,,1981,1.0,,300.0,,,35.5651715205916
206,1981,Technological,Technological,Transport accident,Rail,Near Mansi,,,,,,,1981,6.0,6.0,1981,6.0,6.0,268.0,,,35.5651715205916
207,1981,Technological,Technological,Industrial accident,Fire,Jagannath,,,,,,,1981,6.0,,1981,6.0,,10.0,,,35.5651715205916
208,1981,Natural,Hydrological,Flood,,,,,,,,,1981,7.0,4.0,1981,7.0,4.0,553.0,16000000.0,250000.0,35.5651715205916
209,1981,Natural,Meteorological,Storm,,Gujarat,,,,,,,1981,11.0,1.0,1981,11.0,1.0,470.0,,,35.5651715205916
210,1982,Natural,Meteorological,Storm,Tropical cyclone,"Gujarat, Maharashtra",,,,,,,1982,11.0,9.0,1982,11.0,9.0,500.0,5000000.0,625420.0,37.7458220769372
211,1982,Natural,Meteorological,Storm,Tropical cyclone,Orissa state,,,220.0,,,,1982,6.0,3.0,1982,6.0,3.0,244.0,300493.0,120000.0,37.7458220769372
212,1982,Natural,Meteorological,Extreme temperature,Cold wave,Northern,,,,,,,1982,12.0,,1982,12.0,,400.0,,,37.7458220769372
213,1982,Natural,Biological,Epidemic,Viral disease,West Bengal,,,,,,,1982,10.0,,1982,10.0,,118.0,,,37.7458220769372
214,1982,Technological,Technological,Industrial accident,Collapse,Topa,,,,,,,1982,7.0,,1982,7.0,,16.0,,,37.7458220769372
215,1982,Natural,Climatological,Drought,Drought,"districts of Bhiwani, Gurgaon, Hisar, Mahendargarh, and Rohtak, Kerala, Tami Nadu, Rajasthan",,,,,,,1982,6.0,,1983,,,,100000000.0,,37.7458220769372
216,1982,Natural,Hydrological,Flood,,Northeast,,,,,,,1982,8.0,,1982,8.0,,932.0,33500000.0,700000.0,37.7458220769372
217,1982,Natural,Hydrological,Flood,,North-East region,,,,,,,1982,6.0,,1982,6.0,,,,,37.7458220769372
218,1983,Natural,Hydrological,Landslide,Landslide,Sikkim,,,,,,,1983,9.0,,1983,9.0,,67.0,,,38.9583793014576
219,1983,Natural,Meteorological,Storm,Tropical cyclone,West Bengal,,,,,,,1983,4.0,,1983,4.0,,76.0,7500.0,,38.9583793014576
220,1983,Natural,Meteorological,Storm,Tropical cyclone,Saurashtra coast (N-W. Gujarat),,,,,,,1983,6.0,19.0,1983,6.0,19.0,551.0,800000.0,56000.0,38.9583793014576
221,1983,Natural,Meteorological,Storm,Tropical cyclone,"Andhra Pradesh, Orissa",,,,,,,1983,10.0,3.0,1983,10.0,3.0,100.0,714000.0,510000.0,38.9583793014576
222,1983,Technological,Technological,Transport accident,Rail,Calcutta,,,,,,,1983,3.0,16.0,1983,3.0,16.0,15.0,200.0,,38.9583793014576
223,1983,Technological,Technological,Transport accident,Rail,Dhulwari,,,,,,,1983,11.0,3.0,1983,11.0,3.0,36.0,100.0,,38.9583793014576
224,1983,Technological,Technological,Industrial accident,Other,Hurriladih,,,,,,,1983,9.0,,1983,9.0,,19.0,,,38.9583793014576
225,1983,Technological,Technological,Miscellaneous accident,Collapse,Bikramgant,,,,,,,1983,6.0,11.0,1983,6.0,11.0,80.0,100.0,,38.9583793014576
226,1983,Natural,Meteorological,Storm,,West Bengal,,,,,,,1983,4.0,13.0,1983,4.0,13.0,24.0,35300.0,,38.9583793014576
227,1983,Natural,Meteorological,Storm,,"Himachal Pradesh, Punjab",,,,,,,1983,5.0,,1983,5.0,,31.0,,25000.0,38.9583793014576
228,1983,Natural,Hydrological,Flood,,"Upper Assama, Central Sikkim",,,,,,,1983,7.0,,1983,7.0,,197.0,250000.0,,38.9583793014576
229,1983,Natural,Hydrological,Flood,,Central - Western,,,,,,,1983,8.0,,1983,8.0,,130.0,,,38.9583793014576
230,1983,Natural,Hydrological,Flood,,Tamil Nadu,,,,,,,1983,12.0,,1983,12.0,,58.0,,,38.9583793014576
231,1983,Natural,Hydrological,Flood,,,,,,,,,1983,9.0,,1983,9.0,,400.0,,,38.9583793014576
232,1984,Natural,Geophysical,Earthquake,Ground movement,Cachar district (Assam),,,6.0,24.40 N,92.34 E,,1984,12.0,31.0,1984,12.0,31.0,20.0,10900.0,,40.6338038615079
233,1984,Natural,Hydrological,Flood,Flash flood,Ladakh area,,,,,,,1984,8.0,16.0,1984,8.0,16.0,14.0,,,40.6338038615079
234,1984,Natural,Meteorological,Storm,Tropical cyclone,"Tamil Nadu state + Chittoor, Nellore districts (Andhra Pradesh state)",,,,,,,1984,11.0,14.0,1984,11.0,14.0,524.0,1300000.0,35000.0,40.6338038615079
235,1984,Natural,Meteorological,Storm,Tropical cyclone,"East Uttar Pradesh + Cuttack, Balasore districts (Orissa state) + Midnapore district (West Bengal)",,,,,,,1984,10.0,13.0,1984,10.0,13.0,,,,40.6338038615079
236,1984,Natural,Meteorological,Storm,Tropical cyclone,"Ravalaseema, Kerala, Tamil Nadu",,,,,,,1984,11.0,30.0,1984,11.0,30.0,,35000.0,,40.6338038615079
237,1984,Natural,Meteorological,Extreme temperature,Cold wave,Northeast,,,,,,,1984,12.0,,1984,12.0,,290.0,,,40.6338038615079
238,1984,Natural,Climatological,Wildfire,Forest fire,Jammu region,,,,,,,1984,5.0,,1984,5.0,,,,2000.0,40.6338038615079
239,1984,Natural,Biological,Epidemic,Bacterial disease,Uttar Pradesh,,,,,,,1984,6.0,,1984,6.0,,60.0,,,40.6338038615079
240,1984,Natural,Biological,Epidemic,Parasitic disease,W Bengal State,,,,,,,1984,5.0,,1984,5.0,,3290.0,27000.0,,40.6338038615079
241,1984,Natural,Biological,Epidemic,Viral disease,"Gujarat, Karnataka States",,,,,,,1984,5.0,,1984,5.0,,1160.0,,,40.6338038615079
242,1984,Technological,Technological,Transport accident,Road,Allahabad,,,,,,,1984,5.0,,1984,5.0,,,,,40.6338038615079
243,1984,Technological,Technological,Transport accident,Water,West coast,,,,,,,1984,7.0,19.0,1984,7.0,19.0,400.0,,,40.6338038615079
244,1984,Technological,Technological,Transport accident,Water,Jahanabad (Bihar),,,,,,,1984,9.0,,1984,9.0,,45.0,,,40.6338038615079
245,1984,Technological,Technological,Transport accident,Rail,West New Delhi,,,,,,,1984,2.0,10.0,1984,2.0,10.0,43.0,100.0,,40.6338038615079
246,1984,Technological,Technological,Transport accident,Rail,Bombay,,,,,,,1984,11.0,22.0,1984,11.0,22.0,30.0,100.0,,40.6338038615079
247,1984,Technological,Technological,Transport accident,Rail,Madhya Pradesh State,,,,,,,1984,8.0,,1984,8.0,,60.0,,,40.6338038615079
248,1984,Technological,Technological,Industrial accident,Explosion,Kerala state,,,,,,,1984,3.0,8.0,1984,3.0,8.0,1.0,2007.0,,40.6338038615079
249,1984,Technological,Technological,Industrial accident,Gas leak,Bhopal,,,,,,,1984,12.0,3.0,1984,12.0,3.0,2500.0,300000.0,,40.6338038615079
250,1984,Technological,Technological,Miscellaneous accident,Collapse,Kerala,,,,,,,1984,11.0,7.0,1984,11.0,7.0,125.0,,,40.6338038615079
251,1984,Natural,Hydrological,Flood,,North-East states,,,,,,,1984,5.0,,1984,5.0,,245.0,16000000.0,90000.0,40.6338038615079
252,1984,Natural,Hydrological,Flood,,"West Bengal, Uttar Pradesh, Assam, Bihar",,,,,,,1984,6.0,25.0,1984,6.0,25.0,200.0,3000000.0,,40.6338038615079
253,1984,Natural,Hydrological,Flood,,"W Bengal, Uttar Pradesh & Orissa",,,,,,,1984,8.0,,1984,8.0,,245.0,,,40.6338038615079
254,1984,Natural,Hydrological,Flood,,North-East region,,,,,,,1984,9.0,,1984,9.0,,36.0,,,40.6338038615079
255,1985,Natural,Hydrological,Flood,Riverine flood,"Uttar Pradesh, Bihar",,,90000.0,,,,1985,9.0,,1985,9.0,,557.0,152000.0,308000.0,42.0745267678182
256,1985,Natural,Hydrological,Flood,Riverine flood,"Kerala, Assam, Bombay, Karnataka, Goa states",,,254240.0,,,,1985,6.0,23.0,1985,6.0,23.0,95.0,25000.0,,42.0745267678182
257,1985,Natural,Meteorological,Storm,Tropical cyclone,Andhra Pradesh,,,,,,,1985,10.0,10.0,1985,10.0,10.0,78.0,5000.0,,42.0745267678182
258,1985,Natural,Meteorological,Extreme temperature,Cold wave,"Bihar, Uttar Pradesh, Jammu and Kashmir, Gujarat",,,,,,,1985,12.0,26.0,1985,12.0,26.0,225.0,,144000.0,42.0745267678182
259,1985,Natural,Meteorological,Extreme temperature,Heat wave,Bihar,,,46.0,,,,1985,6.0,6.0,1985,6.0,6.0,103.0,,,42.0745267678182
260,1985,Natural,Biological,Epidemic,Bacterial disease,"Delhi, Haryana, Uttar Pradesh, Rajasthan, Sikkim, Gujarat, Jammu and Kashmir, West Bengal, Chandigarh, Kerala, Orissa",,,,,,,1985,3.0,,1985,3.0,,799.0,6133.0,,42.0745267678182
261,1985,Natural,Biological,Epidemic,Viral disease,Western,,,,,,,1985,1.0,1.0,1985,1.0,1.0,55.0,456.0,,42.0745267678182
262,1985,Natural,Biological,Epidemic,Viral disease,Eastern Uttar Pradesh,,,,,,,1985,10.0,,1985,10.0,,1000.0,,,42.0745267678182
263,1985,Technological,Technological,Transport accident,Road,Near Cadaval (Karnataka),,,,,,,1985,11.0,,1985,11.0,,39.0,80.0,,42.0745267678182
264,1985,Technological,Technological,Transport accident,Water,Between Singapore and Madras,,,,,,,1985,2.0,,1985,2.0,,40.0,,,42.0745267678182
265,1985,Technological,Technological,Transport accident,Water,East Bihar State,,,,,,,1985,4.0,,1985,4.0,,75.0,,,42.0745267678182
266,1985,Technological,Technological,Transport accident,Rail,,,,,,,,1985,2.0,23.0,1985,2.0,23.0,100.0,,,42.0745267678182
267,1985,Technological,Technological,Transport accident,Rail,Agra,,,,,,,1985,6.0,13.0,1985,6.0,13.0,35.0,100.0,,42.0745267678182
268,1985,Technological,Technological,Transport accident,Rail,,,,,,,,1985,10.0,,1985,10.0,,23.0,,,42.0745267678182
269,1985,Technological,Technological,Industrial accident,Chemical spill,Bombay,,,,,,,1985,,,1985,,,1.0,110.0,,42.0745267678182
270,1985,Technological,Technological,Industrial accident,Chemical spill,New Delhi,,,,,,,1985,,,1985,,,1.0,100350.0,,42.0745267678182
271,1985,Technological,Technological,Miscellaneous accident,Collapse,Bombay,,,,,,,1985,8.0,13.0,1985,8.0,13.0,43.0,60.0,,42.0745267678182
272,1985,Natural,Hydrological,Flood,,Punjab (Western),,,117440.0,,,,1985,6.0,,1985,6.0,,133.0,25000.0,,42.0745267678182
273,1985,Natural,Hydrological,Flood,,"Uttar Pradesh, West Bengal, Punjab (North, North-West, East India)",,,404.0,,,,1985,6.0,,1985,6.0,,741.0,10225000.0,500000.0,42.0745267678182
274,1985,Natural,Hydrological,Flood,,Tamil Nadu,,,,,,,1985,11.0,12.0,1985,11.0,12.0,130.0,900000.0,,42.0745267678182
275,1985,Natural,Meteorological,Storm,,,,,,,,,1985,10.0,17.0,1985,10.0,17.0,100.0,100000.0,,42.0745267678182
276,1986,Natural,Meteorological,Storm,Convective storm,Cashmire,,,,,,,1986,11.0,16.0,1986,11.0,16.0,65.0,,,42.8731298312885
277,1986,Natural,Geophysical,Earthquake,Ground movement,Dharmsala,,,5.0,32.128 N,76.374 E,,1986,4.0,26.0,1986,4.0,26.0,6.0,30.0,5000.0,42.8731298312885
278,1986,Natural,Hydrological,Flood,Riverine flood,Andhra Pradesh,,,2400.0,,,,1986,8.0,,1986,8.0,,187.0,245000.0,100000.0,42.8731298312885
279,1986,Natural,Hydrological,Landslide,Avalanche,Jammu and Kashmir State,,,,,,,1986,11.0,16.0,1986,11.0,16.0,65.0,200.0,,42.8731298312885
280,1986,Natural,Hydrological,Landslide,Landslide,"Uttar Pradesh, Himachal Pradesh",,,,,,,1986,7.0,,1986,7.0,,88.0,2500000.0,,42.8731298312885
281,1986,Natural,Meteorological,Storm,Tropical cyclone,Rajasthan state,,,,,,,1986,5.0,16.0,1986,5.0,16.0,11.0,100.0,,42.8731298312885
282,1986,Natural,Meteorological,Storm,Tropical cyclone,"Calcutta, Midnapore district (West bengal)",,,,,,,1986,9.0,25.0,1986,9.0,25.0,13.0,3300000.0,272943.0,42.8731298312885
283,1986,Natural,Biological,Epidemic,Bacterial disease,New Delhi,,,,,,,1986,1.0,1.0,1986,1.0,1.0,55.0,600.0,,42.8731298312885
284,1986,Natural,Biological,Epidemic,Viral disease,South Bihar,,,,,,,1986,6.0,,1986,6.0,,210.0,11000.0,,42.8731298312885
285,1986,Technological,Technological,Transport accident,Road,Geoli,,,,,,,1986,1.0,3.0,1986,1.0,3.0,49.0,,,42.8731298312885
286,1986,Technological,Technological,Transport accident,Road,Maharashtra,,,,,,,1986,1.0,17.0,1986,1.0,17.0,49.0,,,42.8731298312885
287,1986,Technological,Technological,Transport accident,Road,Uttar Pradesh,,,,,,,1986,4.0,26.0,1986,4.0,26.0,44.0,,,42.8731298312885
288,1986,Technological,Technological,Transport accident,Road,Himachal Pradesh,,,,,,,1986,4.0,26.0,1986,4.0,26.0,25.0,,,42.8731298312885
289,1986,Technological,Technological,Transport accident,Road,West Bengal,,,,,,,1986,4.0,26.0,1986,4.0,26.0,30.0,,,42.8731298312885
290,1986,Technological,Technological,Transport accident,Road,Uttar Pradesh,,,,,,,1986,8.0,1.0,1986,8.0,1.0,30.0,,,42.8731298312885
291,1986,Technological,Technological,Transport accident,Road,Bihar,,,,,,,1986,8.0,2.0,1986,8.0,2.0,40.0,,,42.8731298312885
292,1986,Technological,Technological,Transport accident,Road,Uttar Pradesh,,,,,,,1986,10.0,9.0,1986,10.0,9.0,75.0,,,42.8731298312885
293,1986,Technological,Technological,Transport accident,Road,Karnataka,,,,,,,1986,11.0,21.0,1986,11.0,21.0,30.0,,,42.8731298312885
294,1986,Technological,Technological,Transport accident,Road,Himachal Pradesh,,,,,,,1986,12.0,21.0,1986,12.0,21.0,40.0,,,42.8731298312885
295,1986,Technological,Technological,Transport accident,Water,Patna,,,,,,,1986,5.0,7.0,1986,5.0,7.0,40.0,,,42.8731298312885
296,1986,Technological,Technological,Transport accident,Water,Parvan river (Rajasthan),,,,,,,1986,11.0,17.0,1986,11.0,17.0,43.0,,,42.8731298312885
297,1986,Technological,Technological,Transport accident,Water,Bombay,,,,,,,1986,12.0,14.0,1986,12.0,14.0,30.0,,,42.8731298312885
298,1986,Technological,Technological,Transport accident,Rail,"Near Tellicherry, Kerala",,,,,,,1986,2.0,28.0,1986,2.0,28.0,27.0,100.0,,42.8731298312885
299,1986,Technological,Technological,Transport accident,Rail,Bihar state,,,,,,,1986,8.0,6.0,1986,8.0,6.0,202.0,,,42.8731298312885
300,1986,Technological,Technological,Transport accident,Rail,Itanagar,,,,,,,1986,9.0,11.0,1986,9.0,11.0,30.0,,,42.8731298312885
301,1986,Technological,Technological,Industrial accident,Collapse,Maharashtra,,,,,,,1986,6.0,22.0,1986,6.0,22.0,20.0,,,42.8731298312885
302,1986,Technological,Technological,Miscellaneous accident,Other,,,,,,,,1986,1.0,15.0,1986,1.0,15.0,84.0,,,42.8731298312885
303,1986,Technological,Technological,Miscellaneous accident,Other,Gange,,,,,,,1986,4.0,15.0,1986,4.0,15.0,50.0,,,42.8731298312885
304,1986,Technological,Technological,Miscellaneous accident,Other,,,,,,,,1986,11.0,10.0,1986,11.0,10.0,32.0,,,42.8731298312885
305,1986,Technological,Technological,Miscellaneous accident,Fire,New Delhi,,,,,,,1986,1.0,,1986,1.0,,37.0,70.0,,42.8731298312885
306,1986,Natural,Meteorological,Storm,,Uttar Pradesh,,,,,,,1986,7.0,31.0,1986,7.0,31.0,71.0,,,42.8731298312885
307,1986,Natural,Hydrological,Flood,,,,,,,,,1986,10.0,10.0,1986,10.0,10.0,50.0,,276100.0,42.8731298312885
308,1986,Natural,Hydrological,Flood,,,,,,,,,1986,,,1986,,,14.0,150000.0,,42.8731298312885
309,1986,Natural,Meteorological,Storm,,,,,,,,,1986,,,1986,,,230.0,,,42.8731298312885
310,1987,Natural,Hydrological,Flood,Riverine flood,"Assam, Bihar, West Bengal",,,40000.0,,,,1987,8.0,,1987,8.0,,1200.0,18000000.0,545000.0,44.44423842484
311,1987,Natural,Meteorological,Storm,Tropical cyclone,"Andhra Pradesh, Tami Nadu",,,800.0,,,,1987,11.0,2.0,1987,11.0,2.0,38.0,50000.0,,44.44423842484
312,1987,Natural,Meteorological,Storm,Tropical cyclone,"Guntur, Prakasam district (Andhra Pradesh)",,,,,,,1987,11.0,14.0,1987,11.0,14.0,25.0,30000.0,,44.44423842484
313,1987,Natural,Meteorological,Extreme temperature,Heat wave,Rajasthan,,,,,,,1987,6.0,,1987,6.0,,100.0,,,44.44423842484
314,1987,Natural,Biological,Epidemic,Viral disease,Kashmir,,,,,,,1987,1.0,19.0,1987,1.0,19.0,90.0,,,44.44423842484
315,1987,Technological,Technological,Transport accident,Road,Mainpur (Uttar Pradesh),,,,,,,1987,8.0,7.0,1987,8.0,7.0,110.0,,,44.44423842484
316,1987,Technological,Technological,Transport accident,Road,Assam,,,,,,,1987,1.0,28.0,1987,1.0,28.0,52.0,,,44.44423842484
317,1987,Technological,Technological,Transport accident,Road,Delhi,,,,,,,1987,1.0,,1987,1.0,,60.0,,,44.44423842484
318,1987,Technological,Technological,Transport accident,Road,"Dohad, Gujarat",,,,,,,1987,3.0,11.0,1987,3.0,11.0,22.0,,,44.44423842484
319,1987,Technological,Technological,Transport accident,Road,Haryana,,,,,,,1987,5.0,5.0,1987,5.0,5.0,21.0,,,44.44423842484
320,1987,Technological,Technological,Transport accident,Road,Arunachal Pradesh,,,,,,,1987,5.0,15.0,1987,5.0,15.0,39.0,,,44.44423842484
321,1987,Technological,Technological,Transport accident,Road,Patiala (Punjab),,,,,,,1987,6.0,15.0,1987,6.0,15.0,70.0,,,44.44423842484
322,1987,Technological,Technological,Transport accident,Road,Guna (Madhya Pradesh),,,,,,,1987,6.0,25.0,1987,6.0,25.0,21.0,,,44.44423842484
323,1987,Technological,Technological,Transport accident,Road,,,,,,,,1987,10.0,2.0,1987,10.0,2.0,19.0,,,44.44423842484
324,1987,Technological,Technological,Transport accident,Road,Punjab,,,,,,,1987,10.0,15.0,1987,10.0,15.0,20.0,,,44.44423842484
325,1987,Technological,Technological,Transport accident,Road,Himachal Pradesh,,,,,,,1987,12.0,18.0,1987,12.0,18.0,20.0,,,44.44423842484
326,1987,Technological,Technological,Transport accident,Water,Ghazipur,,,,,,,1987,6.0,8.0,1987,6.0,8.0,20.0,,,44.44423842484
327,1987,Technological,Technological,Transport accident,Water,Brahmani,,,,,,,1987,6.0,18.0,1987,6.0,18.0,35.0,,,44.44423842484
328,1987,Technological,Technological,Transport accident,Water,Brahmaputre,,,,,,,1987,7.0,8.0,1987,7.0,8.0,43.0,,,44.44423842484
329,1987,Technological,Technological,Transport accident,Water,Waingaga,,,,,,,1987,9.0,19.0,1987,9.0,19.0,25.0,,,44.44423842484
330,1987,Technological,Technological,Transport accident,Rail,Kazipet (Andhra Pradesh),,,,,,,1987,7.0,9.0,1987,7.0,9.0,50.0,,,44.44423842484
331,1987,Technological,Technological,Transport accident,Rail,Rajasthan,,,,,,,1987,11.0,29.0,1987,11.0,29.0,24.0,,,44.44423842484
332,1987,Technological,Technological,Miscellaneous accident,Collapse,Bihar,,,,,,,1987,4.0,23.0,1987,4.0,23.0,21.0,,,44.44423842484
333,1987,Natural,Climatological,Drought,Drought,"Gujarat, Rajasthan, Orissa, Madhya Pradesh, Andhra Pradesh, Maharashtra",,,,,,,1987,5.0,,1987,8.0,,300.0,300000000.0,,44.44423842484
334,1987,Technological,Technological,Miscellaneous accident,Fire,Bhuban,,,,,,,1987,4.0,7.0,1987,4.0,7.0,25.0,1500.0,,44.44423842484
335,1987,Natural,Meteorological,Storm,,"Bihar, Uttar Pradesh",,,,,,,1987,5.0,,1987,5.0,,63.0,,,44.44423842484
336,1987,Natural,Meteorological,Storm,,Bihar,,,,,,,1987,10.0,18.0,1987,10.0,18.0,40.0,,,44.44423842484
337,1987,Natural,Hydrological,Flood,,Cachemire,,,,,,,1987,5.0,,1987,5.0,,25.0,,,44.44423842484
338,1987,Natural,Hydrological,Flood,,Andhra Pradesh,,,,,,,1987,7.0,9.0,1987,7.0,9.0,30.0,,,44.44423842484
339,1987,Natural,Hydrological,Flood,,Uttar Pradesh,,,3000.0,,,,1987,9.0,18.0,1987,9.0,18.0,59.0,300000.0,,44.44423842484
340,1988,Natural,Geophysical,Earthquake,Ground movement,"Dharbhanga, Madhubani, Saharsa, Munger, Khagana, Bihar Sharie (Bihar State)",,,7.0,26.755,616,4:39,1988,8.0,21.0,1988,8.0,21.0,382.0,20003766.0,71500.0,46.256556831435
341,1988,Natural,Hydrological,Flood,Riverine flood,"Bihar, West Bengal, Assam",,,,,,,1988,6.0,,1988,6.0,,250.0,16500000.0,929200.0,46.256556831435
342,1988,Natural,Hydrological,Flood,Riverine flood,"Punjab, Himachal Pradesh, Haryana, Jamuu and Kashmir, Delhi",,,,,,,1988,9.0,22.0,1988,10.0,9.0,1000.0,221000.0,18000.0,46.256556831435
343,1988,Natural,Hydrological,Landslide,Avalanche,"Jammu and Kashmir, Ladakh",,,,,,,1988,3.0,15.0,1988,3.0,15.0,250.0,,,46.256556831435
344,1988,Natural,Hydrological,Landslide,Landslide,"Uttar Pradesh, Haryana, Himachal Pradesh, Pendjab states",,,,,,,1988,7.0,,1988,7.0,,255.0,,,46.256556831435
345,1988,Natural,Meteorological,Storm,Tropical cyclone,West Bengal,,,,,,,1988,11.0,29.0,1988,11.0,29.0,74.0,1900000.0,13000.0,46.256556831435
346,1988,Natural,Meteorological,Extreme temperature,Heat wave,"Northern, Western, Central India",,,,,,,1988,5.0,,1988,5.0,,418.0,200.0,,46.256556831435
347,1988,Natural,Meteorological,Extreme temperature,Heat wave,Rajasthan,,,,,,,1988,5.0,,1988,5.0,,32.0,,,46.256556831435
348,1988,Natural,Biological,Epidemic,Bacterial disease,Delhi,,,,,,,1988,6.0,,1988,6.0,,466.0,,,46.256556831435
349,1988,Natural,Biological,Epidemic,Bacterial disease,Gujarat state,,,,,,,1988,7.0,,1988,7.0,,445.0,,,46.256556831435
